"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"50","  ","  ","b_DispersalModeWind",-0.046,0.091,-0.223,0.137
"51","  ","  ","sigma",0.24,0.032,0.188,0.313
"52","128","Absolute range changes - decidiousness","b_Intercept",-0.029,0.05,-0.128,0.069
"53","  ","  ","b_LeafPhenologyEvergreen",-0.014,0.093,-0.2,0.169
"54","  ","  ","sigma",0.242,0.032,0.188,0.312
"55","129","Absolute range changes - family","b_Intercept",-0.154,0.141,-0.43,0.124
"56","  ","  ","b_FamilyEmpetraceae",0.181,0.285,-0.379,0.731
"57","  ","  ","b_FamilyEricaceae",0.204,0.16,-0.111,0.521
"58","  ","  ","b_FamilyLamiaceae",-0.051,0.283,-0.615,0.5
"59","  ","  ","b_FamilyRosaceae",0.118,0.187,-0.242,0.49
"60","  ","  ","b_FamilySalicaceae",0.097,0.154,-0.209,0.394
"61","  ","  ","sigma",0.247,0.035,0.191,0.328
"62","130","Relative range changes - functional group","b_Intercept",-0.077,0.073,-0.224,0.065
"63","  ","  ","b_gfLowshrub",0.074,0.177,-0.267,0.426
