"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"32","Rosa acicularis","SLA",22,4,20.6178947349128,3.02615937516658,5.42876921542825,0.215230806518102,0.262281058806855,0.0716213378359122,-1.33833860666161,5,2,18.862500001,2.93717582414698,10.5183380002474,0.381268154083266,0.460511267437588,0.124504948177718,-0.775417955752041
"33","Rosa majalis","SLA",7,2,19.417475728,2.96617347130445,3.19160227842563,0.186017022102264,0.173179519198339,0.0641481674680457,-1.75342653927804,5,2,19.4174757281553,2.96617347131244,3.06623829765015,0.177041288445056,0.160298304932733,0.0602296790939668,-1.83071879376606
"34","Rubus chamaemorus","SLA",33,10,13.34592108,2.59121080108164,1.57314630088797,0.119117420771888,0.11853058025998,0.0461907382020822,-2.13258429043338,5,3,12.5,2.52572864430826,1.46906100817964,0.123133645425466,0.120680052549472,0.0493867837364908,-2.11461242924663
"35","Rubus idaeus","SLA",106,14,18.5194805198966,2.91882317914302,8.88360477944986,0.36381137484409,0.381012933764886,0.118058342180542,-0.964921957542154,5,5,18.7723577235772,2.93238545398208,7.93099242955481,0.330209870895015,0.341878305454727,0.106544251605097,-1.07330043724648
"36","Salix arctica","SLA",340,13,11.4942528735632,2.44184716032755,2.05051843240428,0.174262189857324,0.176452361133702,0.071487228250829,-1.73470434763159,5,2,11.15952449,2.41229334762246,1.25433108905872,0.108478130480276,0.11037788174604,0.0447205550506657,-2.20384551171445
"37","Salix glauca","SLA",182,23,10.854042205,2.38452687130241,1.52602313560607,0.135622775009169,0.13910436657274,0.0568429012648643,-1.97253078893696,5,4,10.42863809,2.34455568426443,1.2067387890921,0.108656168938962,0.111388317895015,0.045695064290064,-2.19473282328032
"38","Salix hastata","SLA",30,2,12.6219178081096,2.53543481134474,1.47401748071339,0.108194535718546,0.112142558163446,0.0420959932703379,-2.18798437631704,5,1,12.621917808,2.53543481133606,0.798574000067754,0.0655052271106778,0.0642443412889645,0.0260102417782887,-2.745061632409
"39","Salix herbacea","SLA",268,45,13.9630909090909,2.63641646814571,3.09341200862035,0.206889904659472,0.216842594803082,0.0784845327629038,-1.52858355822052,5,4,14.50787743,2.67469177294273,2.80395711674051,0.210085444645708,0.204745557024768,0.0808120763085602,-1.58598725599713
"40","Salix lanata","SLA",75,13,13.735,2.61994731954724,3.63513683586523,0.267892556168316,0.259154045020933,0.102781807737852,-1.35033262566665,5,4,9.579346558,2.2596093806794,1.33032143886835,0.138456775633526,0.141230415554497,0.0619488977564415,-1.95736256951013
"41","Salix lapponum","SLA",44,12,11.661893055,2.45632652237548,2.51563865329347,0.189349356796049,0.201223853698506,0.0755092517565912,-1.60333729063426,5,4,11.09,2.40604380136228,3.51301769107718,0.248768525010053,0.283949370290798,0.0999731900356369,-1.25895933033751
"42","Salix myrsinites","SLA",19,7,9.60904037470513,2.26270436104561,0.944061934663479,0.103917038494041,0.0991921554399312,0.0462227900787445,-2.31069634604466,5,4,10.526315789,2.3538783873366,0.85958841962283,0.0897415054198553,0.0863380616650311,0.0391023113311095,-2.44948473912962
"43","Salix niphoclada","SLA",10,1,18.125892855,2.89719366874507,2.16742304817331,0.120565548103455,0.119908760395793,0.0417463144285623,-2.12102415543263,5,1,18.66666667,2.92673940224561,2.11241006399906,0.111160566119673,0.112551242161436,0.0379751285814096,-2.18434667516043
"44","Salix phlebophylla","SLA",28,5,11.43892931,2.43701111712337,2.12877154996805,0.17703647518446,0.185338722720996,0.0729860896799975,-1.68557019439263,5,4,12.15454545,2.49770321093556,1.51357889962476,0.136338243406926,0.13264694837697,0.0561701585544618,-2.02006420373673
